tf_gene_name	uniprot_id	uniprot_ac	gene_names	tf_superclass	tf_class	tf_family	tf_subfamily	tf_genus	tf_molecular_species	cisbp_families	cisbp_dbds
GLI4	GLI4_HUMAN	P10075	GLI4:HKR4	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	ZNF24-like factors{2.3.3.10}	GLI4 (HKR4) [7]{2.3.3.10.4}		C2H2 ZF	zf-C2H2
GLIS1	GLIS1_HUMAN	Q8NBF1	GLIS1	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	GLI-like factors{2.3.3.1}	GLIS1 [5]{2.3.3.1.4}		C2H2 ZF	zf-C2H2
GLIS2	GLIS2_HUMAN	Q9BZE0	GLIS2:NKL	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	GLI-like factors{2.3.3.1}	GLIS2 (NKL) [5]{2.3.3.1.5}		C2H2 ZF	zf-C2H2
GLIS3	GLIS3_HUMAN	Q8NEA6	GLIS3:ZNF515	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	GLI-like factors{2.3.3.1}	GLIS3 (ZNF515) [5]{2.3.3.1.6}	GLIS3, isoform 1{2.3.3.1.6.1}:GLIS3, isoform 2{2.3.3.1.6.2}	C2H2 ZF	zf-C2H2
GLYR1	GLYR1_HUMAN	Q49A26	GLYR1:HIBDL:NDF:NP60								
GMEB1	GMEB1_HUMAN	Q9Y692	GMEB1	alpha-Helices exposed by beta-structures{5}	SAND domain factors{5.3}	GMEB{5.3.3}	GMEB{5.3.3.1}	GMEB-1{5.3.3.1.1}	GMEB-1, isoform 1{5.3.3.1.1.1}:GMEB-1, isoform 2{5.3.3.1.1.2}	SAND	SAND
GMEB2	GMEB2_HUMAN	Q9UKD1	GMEB2:KIAA1269	alpha-Helices exposed by beta-structures{5}	SAND domain factors{5.3}	GMEB{5.3.3}	GMEB{5.3.3.1}	GMEB-2{5.3.3.1.2}		SAND	SAND
GRHL1	GRHL1_HUMAN	Q9NZI5	GRHL1:LBP32:MGR:TFCP2L2	Immunoglobulin fold{6}	Grainyhead domain factors{6.7}	Grainyhead-related factors{6.7.1}	GRH-like proteins{6.7.1.1}	GRH-L1 (CP2-L2, LBP-32, MGR){6.7.1.1.1}	p70 MGR, isoform 1{6.7.1.1.1.1}:p49 MGR, isoform 2{6.7.1.1.1.2}:GRH-L1, isoform 3{6.7.1.1.1.3}	Grainyhead	CP2
GRHL2	GRHL2_HUMAN	Q6ISB3	GRHL2:BOM:TFCP2L3	Immunoglobulin fold{6}	Grainyhead domain factors{6.7}	Grainyhead-related factors{6.7.1}	GRH-like proteins{6.7.1.1}	GRH-L2 (CP2-L3){6.7.1.1.2}	GRH-L2, isoform 1{6.7.1.1.2.1}:GRH-L2, isoform 2{6.7.1.1.2.2}	Grainyhead	CP2
GSC	GSC_HUMAN	P56915	GSC	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	Paired-related HD factors{3.1.3}	GSC{3.1.3.9}	GSC{3.1.3.9.1}		Homeodomain	Homeobox
GSC2	GSC2_HUMAN	O15499	GSC2:GSCL	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	Paired-related HD factors{3.1.3}	GSC{3.1.3.9}	GSC-2{3.1.3.9.2}		Homeodomain	Homeobox
GSPT2	ERF3B_HUMAN	Q8IYD1	GSPT2:ERF3B								
GSX1	GSX1_HUMAN	Q9H4S2	GSX1:GSH1	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	GSX{3.1.1.12}	GSX-1 (GSH-1){3.1.1.12.1}		Homeodomain	Homeobox
GSX2	GSX2_HUMAN	Q9BZM3	GSX2:GSH2	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	GSX{3.1.1.12}	GSX-2 (GSH-2){3.1.1.12.2}		Homeodomain	Homeobox
GTF2B	TF2B_HUMAN	Q00403	GTF2B:TF2B:TFIIB								
GTF2F1	T2FA_HUMAN	P35269	GTF2F1:RAP74								
GTF3A	TF3A_HUMAN	Q92664	GTF3A	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	unclassified{2.3.3.0}	GTF3A (TFIIIA) [9]{2.3.3.0.75}	GTF3A, isoform 1{2.3.3.0.75.1}:GTF3A, isoform 2{2.3.3.0.75.2}	C2H2 ZF	zf-C2H2
GTF3C2	TF3C2_HUMAN	Q8WUA4	GTF3C2:KIAA0011								
Gabpa	GABPA_MOUSE	Q00422	Gabpa:E4tf1a	Helix-turn-helix domains{3}	Tryptophan cluster factors{3.5}	Ets-related factors{3.5.2}	Ets-like factors{3.5.2.1}	GABPalpha (E4TF1-60, NRSF-2alpha){3.5.2.1.4}		Ets	Ets
Gata3	GATA3_MOUSE	P23772	Gata3:Gata-3	Zinc-coordinating DNA-binding domains{2}	Other C4 zinc finger-type factors{2.2}	GATA-type zinc fingers{2.2.1}	Two zinc-finger GATA factors{2.2.1.1}	GATA-3{2.2.1.1.3}		GATA	GATA
Gata4	GATA4_MOUSE	Q08369	Gata4:Gata-4	Zinc-coordinating DNA-binding domains{2}	Other C4 zinc finger-type factors{2.2}	GATA-type zinc fingers{2.2.1}	Two zinc-finger GATA factors{2.2.1.1}	GATA-4{2.2.1.1.4}		GATA	GATA
Gata5	GATA5_MOUSE	P97489	Gata5	Zinc-coordinating DNA-binding domains{2}	Other C4 zinc finger-type factors{2.2}	GATA-type zinc fingers{2.2.1}	Two zinc-finger GATA factors{2.2.1.1}	GATA-5{2.2.1.1.5}		GATA	GATA
Gata6	GATA6_MOUSE	Q61169	Gata6	Zinc-coordinating DNA-binding domains{2}	Other C4 zinc finger-type factors{2.2}	GATA-type zinc fingers{2.2.1}	Two zinc-finger GATA factors{2.2.1.1}	GATA-6{2.2.1.1.6}	GATA-6, isoform 1{2.2.1.1.6.1}:GATA-6, isoform 2{2.2.1.1.6.2}	GATA	GATA
Gbx1	GBX1_MOUSE	P82976	Gbx1	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	GBX (Gastrulation brain homeobox){3.1.1.11}	GBX-1{3.1.1.11.1}		Homeodomain	Homeobox
Gbx2	GBX2_MOUSE	P48031	Gbx2:Mmoxa:Stra7	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	GBX (Gastrulation brain homeobox){3.1.1.11}	GBX-2{3.1.1.11.2}		Homeodomain	Homeobox
Gcm1	GCM1_MOUSE	P70348	Gcm1:Gcma	beta-Hairpin exposed by an alpha/beta-scaffold{7}	GCM domain factors{7.2}	GCM factors{7.2.1}	GCMa (GCM1){7.2.1.0.1}	GCMa (GCM1){7.2.1.0.1}		GCM	GCM
Gli1	GLI1_MOUSE	P47806	Gli1:Gli	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	GLI-like factors{2.3.3.1}	GLI1 [5]{2.3.3.1.1}		C2H2 ZF	zf-C2H2
Gli2	GLI2_MOUSE	Q0VGT2	Gli2:Thp	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	GLI-like factors{2.3.3.1}	GLI2 [5]{2.3.3.1.2}		C2H2 ZF	zf-C2H2
Gli3	GLI3_MOUSE	Q61602	Gli3	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	GLI-like factors{2.3.3.1}	GLI3 [5]{2.3.3.1.3}		C2H2 ZF	zf-C2H2
Glis2	GLIS2_MOUSE	Q8VDL9	Glis2:Gli5:Nkl	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	GLI-like factors{2.3.3.1}	GLIS2 (NKL) [5]{2.3.3.1.5}		C2H2 ZF	zf-C2H2
Gm397	ZSC4C_MOUSE	Q80VJ6	Zscan4c:Gm397								
Gmeb1	GMEB1_MOUSE	Q9JL60	Gmeb1	alpha-Helices exposed by beta-structures{5}	SAND domain factors{5.3}	GMEB{5.3.3}	GMEB{5.3.3.1}	GMEB-1{5.3.3.1.1}		SAND	SAND
Gsc	GSC_MOUSE	Q02591	Gsc	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	Paired-related HD factors{3.1.3}	GSC{3.1.3.9}	GSC{3.1.3.9.1}		Homeodomain	Homeobox
Gsh2	GSX2_MOUSE	P31316	Gsx2:Gsh-2:Gsh2	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	GSX{3.1.1.12}	GSX-2 (GSH-2){3.1.1.12.2}			
HAND1	HAND1_HUMAN	O96004	HAND1:BHLHA27:EHAND	Basic domains{1}	Basic helix-loop-helix factors (bHLH){1.2}	Tal-related factors{1.2.3}	Twist-like factors{1.2.3.2}	HAND-1 (eHAND, Th1){1.2.3.2.3}			
HAND2	HAND2_HUMAN	P61296	HAND2:BHLHA26:DHAND	Basic domains{1}	Basic helix-loop-helix factors (bHLH){1.2}	Tal-related factors{1.2.3}	Twist-like factors{1.2.3.2}	HAND-2 (dHAND){1.2.3.2.4}		bHLH	HLH
HCFC1	HCFC1_HUMAN	P51610	HCFC1:HCF1:HFC1								
HDAC1	HDAC1_HUMAN	Q13547	HDAC1:RPD3L1								
HDAC2	HDAC2_HUMAN	Q92769	HDAC2								
HDAC3	HDAC3_HUMAN	O15379	HDAC3								
HDGF	HDGF_HUMAN	P51858	HDGF:HMG1L2								
HDX	HDX_HUMAN	Q7Z353	HDX:CXorf43	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	POU domain factors{3.1.10}	HDX-like factors{3.1.10.8}	HDX{3.1.10.8.1}	HDX, isoform 1{3.1.10.8.1.1}:HDX, isoform 2{3.1.10.8.1.2}	Homeodomain	Homeobox
HES2	HES2_HUMAN	Q9Y543	HES2:BHLHB40	Basic domains{1}	Basic helix-loop-helix factors (bHLH){1.2}	Hairy-related factors{1.2.4}	Hairy-like factors{1.2.4.1}	HES-2{1.2.4.1.2}	HES-2, isoform 1{1.2.4.1.2.1}:HES-2, isoform 2{1.2.4.1.2.2}	bHLH	HLH
HES5	HES5_HUMAN	Q5TA89	HES5:BHLHB38	Basic domains{1}	Basic helix-loop-helix factors (bHLH){1.2}	Hairy-related factors{1.2.4}	Hairy-like factors{1.2.4.1}	HES-5{1.2.4.1.5}		bHLH	HLH
HES6	HES6_HUMAN	Q96HZ4	HES6:BHLHB41	Basic domains{1}	Basic helix-loop-helix factors (bHLH){1.2}	Hairy-related factors{1.2.4}	Hairy-like factors{1.2.4.1}	HES-6{1.2.4.1.6}	HES-6, isoform 1{1.2.4.1.6.1}:HES-6, isoform 2{1.2.4.1.6.2}:HES-6, isoform 3{1.2.4.1.6.3}	bHLH	HLH
HES7	HES7_HUMAN	Q9BYE0	HES7:BHLHB37	Basic domains{1}	Basic helix-loop-helix factors (bHLH){1.2}	Hairy-related factors{1.2.4}	Hairy-like factors{1.2.4.1}	HES-7{1.2.4.1.7}	HES-7, isoform 1{1.2.4.1.7.1}:HES-7, isoform 2{1.2.4.1.7.2}	bHLH	HLH
HESX1	HESX1_HUMAN	Q9UBX0	HESX1:HANF	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	Paired-related HD factors{3.1.3}	HESX{3.1.3.10}	HESX-1{3.1.3.10.1}		Homeodomain	Homeobox
HEXIM1	HEXI1_HUMAN	O94992	HEXIM1:CLP1:EDG1:HIS1:MAQ1								
HEY1	HEY1_HUMAN	Q9Y5J3	HEY1:BHLHB31:CHF2:HERP2:HESR1:HRT1	Basic domains{1}	Basic helix-loop-helix factors (bHLH){1.2}	Hairy-related factors{1.2.4}	Hairy-like factors{1.2.4.1}	HEY-1{1.2.4.1.8}	HEY-1, isoform 1{1.2.4.1.8.1}:HEY-1, isoform 2{1.2.4.1.8.2}	bHLH	HLH
HEY2	HEY2_HUMAN	Q9UBP5	HEY2:BHLHB32:CHF1:GRL:HERP:HERP1:HRT2	Basic domains{1}	Basic helix-loop-helix factors (bHLH){1.2}	Hairy-related factors{1.2.4}	Hairy-like factors{1.2.4.1}	HEY-2{1.2.4.1.9}		bHLH	HLH
HHEX	HHEX_HUMAN	Q03014	HHEX:HEX:PRH:PRHX	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	NK-related factors{3.1.2}	HHEX{3.1.2.8}	HHEX (PRH){3.1.2.8.1}		Homeodomain	Homeobox
HIC1	HIC1_HUMAN	Q14526	HIC1:ZBTB29	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	Factors with multiple dispersed zinc fingers{2.3.4}	Hypermethylated in Cancer proteins{2.3.4.17}	HIC1 (ZBTB29) [1+4]{2.3.4.17.1}	HIC1, isoform 1{2.3.4.17.1.1}:HIC1, isoform 2{2.3.4.17.1.2}	C2H2 ZF	zf-C2H2
HIC2	HIC2_HUMAN	Q96JB3	HIC2:HRG22:KIAA1020:ZBTB30	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	Factors with multiple dispersed zinc fingers{2.3.4}	Hypermethylated in Cancer proteins{2.3.4.17}	HIC2 (HRG22, ZBTB30) [1+4]{2.3.4.17.2}	HIC2, isoform 1{2.3.4.17.2.1}:HIC2, isoform 2{2.3.4.17.2.2}	C2H2 ZF	zf-C2H2
HIF1A	HIF1A_HUMAN	Q16665	HIF1A:BHLHE78:MOP1:PASD8	Basic domains{1}	Basic helix-loop-helix factors (bHLH){1.2}	PAS domain factors{1.2.5}	Ahr-like factors{1.2.5.1}	HIF-1alpha{1.2.5.1.5}	HIF-1alpha, isoform 1{1.2.5.1.5.1}:HIF-1alpha, isoform 2{1.2.5.1.5.2}:HIF-1alpha, isoform 3 (I.3){1.2.5.1.5.3}	bHLH	HLH
HINFP	HINFP_HUMAN	Q9BQA5	HINFP:MIZF:ZNF743	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	Factors with multiple dispersed zinc fingers{2.3.4}	HINFP-like factors{2.3.4.21}	HINFP (MIZF, ZNF743) [1+8]{2.3.4.21.1}	HINFP, isoform 1 [1+8]{2.3.4.21.1.1}:HINFP, isoform 2 [1+8]{2.3.4.21.1.2}	C2H2 ZF	zf-C2H2
HIVEP1	ZEP1_HUMAN	P15822	HIVEP1:ZNF40	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	Factors with multiple dispersed zinc fingers{2.3.4}	HIV EP-factors{2.3.4.5}	HIV-EP1 (ZNF40, PRDII-BF1, MBP-1, CIRIP, GAAP) [2+1+2]{2.3.4.5.1}	HIV-EP1, isoform 1{2.3.4.5.1.1}:HIV-EP1, isoform 2 (Delta 2, GAAP-1) [2]{2.3.4.5.1.2}:HIV-EP1, isoform 3 (GAAP-2) [2]{2.3.4.5.1.3}		
HIVEP2	ZEP2_HUMAN	P31629	HIVEP2	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	Factors with multiple dispersed zinc fingers{2.3.4}	HIV EP-factors{2.3.4.5}	HIV-EP2 (MBP-2, ZNF40B) [2+2]{2.3.4.5.2}			
HLF	HLF_HUMAN	Q16534	HLF	Basic domains{1}	Basic leucine zipper factors (bZIP){1.1}	C/EBP-related{1.1.8}	PAR factors{1.1.8.2}	HLF{1.1.8.2.2}	HLF, isoform 1{1.1.8.2.2.1}:HLF, isoform 2{1.1.8.2.2.2}	bZIP	bZIP_1
HLTF	HLTF_HUMAN	Q14527	HLTF:HIP116A:RNF80:SMARCA3:SNF2L3:ZBU1								
HMBOX1	HMBX1_HUMAN	Q6NT76	HMBOX1:HOT1:TAH1	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	POU domain factors{3.1.10}	HNF1-like factors{3.1.10.7}	HMBOX1 (HNF-1LA){3.1.10.7.3}	HMBOX1, isoform 1{3.1.10.7.3.1}:HMBOX1, isoform 2{3.1.10.7.3.2}:HMBOX1, isoform 3{3.1.10.7.3.3}:HMBOX1, isoform 4{3.1.10.7.3.4}:HMBOX1, isoform 5{3.1.10.7.3.5}	Homeodomain	Homeobox
HMGA1	HMGA1_HUMAN	P17096	HMGA1:HMGIY	beta-Sheet binding to DNA{8}	A.T hook factors{8.2}	HMGA factors{8.2.1}	HMGA1 (HMGI(Y)){8.2.1.0.1}	HMGA1 (HMGI(Y)){8.2.1.0.1}	HMGA1a, isoform HMG-I{8.2.1.0.1.1}:HMGA1b, isoform HMG-Y{8.2.1.0.1.2}:HMGA1c, isoform HMG-R{8.2.1.0.1.3}		
HMGA2	HMGA2_HUMAN	P52926	HMGA2:HMGIC	beta-Sheet binding to DNA{8}	A.T hook factors{8.2}	HMGA factors{8.2.1}	HMGA2 (HMGI-C){8.2.1.0.2}	HMGA2 (HMGI-C){8.2.1.0.2}	HMGA2, isoform 1 (HMGA2a){8.2.1.0.2.1}:HMGA2, isoform 2 (HMGA2f){8.2.1.0.2.2}:HMGA2, isoform 3 (HMGA2d'){8.2.1.0.2.3}:HMGA2, isoform 4 (HMGA2d){8.2.1.0.2.4}:HMGA2, isoform 5 (HMGA2c'){8.2.1.0.2.5}:HMGA2, isoform 6 (HMGA2c){8.2.1.0.2.6}		
HMGN3	HMGN3_HUMAN	Q15651	HMGN3:TRIP7:PNAS-24								
HMX1	HMX1_HUMAN	Q9NP08	HMX1:H6	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	NK-related factors{3.1.2}	NK-5/HMX{3.1.2.18}	HMX-1 (H6, NKX5-3, NKX-5.3){3.1.2.18.1}		Homeodomain	Homeobox
HMX2	HMX2_HUMAN	A2RU54	HMX2	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	NK-related factors{3.1.2}	NK-5/HMX{3.1.2.18}	HMX-2 (H6L, NKX5-2, NKX-5.2){3.1.2.18.2}		Homeodomain	Homeobox
HNF1A	HNF1A_HUMAN	P20823	HNF1A:TCF1	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	POU domain factors{3.1.10}	HNF1-like factors{3.1.10.7}	HNF-1alpha (HNF-1A, LF-B1){3.1.10.7.1}	HNF-1alpha, isoform A{3.1.10.7.1.1}:HNF-1alpha, isoform B{3.1.10.7.1.2}:HNF-1alpha, isoform C{3.1.10.7.1.3}:HNF-1alpha, isoform 4{3.1.10.7.1.4}:HNF-1alpha, isoform 5{3.1.10.7.1.5}:HNF-1alpha, isoform 6{3.1.10.7.1.6}:HNF-1alpha, isoform 7 (insIVS8){3.1.10.7.1.7}:HNF-1alpha, isoform 8 (delta2){3.1.10.7.1.8}	Homeodomain	Homeobox
HNF1B	HNF1B_HUMAN	P35680	HNF1B:TCF2	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	POU domain factors{3.1.10}	HNF1-like factors{3.1.10.7}	HNF-1beta (HNF-1B, vHNF1, LF-B3){3.1.10.7.2}	HNF-1beta, isoform A{3.1.10.7.2.1}:HNF-1beta, isoform B{3.1.10.7.2.2}:HNF-1beta, isoform C{3.1.10.7.2.3}:HNF-1beta, isoform 4{3.1.10.7.2.4}	Homeodomain	Homeobox
HNF4A	HNF4A_HUMAN	P41235	HNF4A:HNF4:NR2A1:TCF14	Zinc-coordinating DNA-binding domains{2}	Nuclear receptors with C4 zinc fingers{2.1}	RXR-related receptors (NR2){2.1.3}	HNF-4 (NR2A){2.1.3.2}	HNF-4alpha (NR2A1){2.1.3.2.1}	HNF-4alpha1{2.1.3.2.1.1}:HNF-4alpha2{2.1.3.2.1.2}:HNF-4alpha3{2.1.3.2.1.3}:HNF-4alpha4{2.1.3.2.1.4}:HNF-4alpha7{2.1.3.2.1.5}:HNF-4alpha8{2.1.3.2.1.6}:HNF-4alpha9{2.1.3.2.1.7}	Nuclear receptor	zf-C4
HNF4G	HNF4G_HUMAN	Q14541	HNF4G:NR2A2	Zinc-coordinating DNA-binding domains{2}	Nuclear receptors with C4 zinc fingers{2.1}	RXR-related receptors (NR2){2.1.3}	HNF-4 (NR2A){2.1.3.2}	HNF-4gamma (NR2A2){2.1.3.2.2}	HNF-4gamma, isoform 1{2.1.3.2.2.1}:HNF-4gamma, isoform 2{2.1.3.2.2.2}		
HOMEZ	HOMEZ_HUMAN	Q8IX15	HOMEZ:KIAA1443	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HD-ZF factors{3.1.8}	ZHX{3.1.8.5}	HOMEZ{3.1.8.5.4}		Homeodomain	Homeobox
HOXA1	HXA1_HUMAN	P49639	HOXA1:HOX1F	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX1{3.1.1.1}	Hox-A1 (HOX1F){3.1.1.1.1}	Hox-A1, isoform 1 (36 kDa){3.1.1.1.1.1}:Hox-A1, isoform 2 (14 kDa){3.1.1.1.1.2}:Hox-A1, isoform 3 (24 kDa){3.1.1.1.1.3}	Homeodomain	Homeobox
HOXA10	HXA10_HUMAN	P31260	HOXA10:HOX1H	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX9-13{3.1.1.8}	Hox-A10 (HOX1H){3.1.1.8.5}	Hox-A10, isoform 1 (PL1){3.1.1.8.5.1}:Hox-A10, isoform 2 (PL2){3.1.1.8.5.2}	Homeodomain	Homeobox
HOXA11	HXA11_HUMAN	P31270	HOXA11:HOX1I	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX9-13{3.1.1.8}	Hox-A11 (HOX1I){3.1.1.8.8}		Homeodomain	Homeobox
HOXA13	HXA13_HUMAN	P31271	HOXA13:HOX1J	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX9-13{3.1.1.8}	Hox-A13 (HOX1J){3.1.1.8.13}		Homeodomain	Homeobox
HOXA2	HXA2_HUMAN	O43364	HOXA2:HOX1K	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX2{3.1.1.2}	Hox-A2 (HOX1K){3.1.1.2.1}		Homeodomain	Homeobox
HOXA4	HXA4_HUMAN	Q00056	HOXA4:HOX1D	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX4{3.1.1.4}	Hox-A4 (HOX1D){3.1.1.4.1}		Homeodomain	Homeobox
HOXA5	HXA5_HUMAN	P20719	HOXA5:HOX1C	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX5{3.1.1.5}	Hox-A5 (HOX1C){3.1.1.5.1}		Homeodomain	Homeobox
HOXA6	HXA6_HUMAN	P31267	HOXA6:HOX1B	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX6-7{3.1.1.6}	Hox-A6 (HOX1B){3.1.1.6.1}		Homeodomain	Homeobox
HOXA7	HXA7_HUMAN	P31268	HOXA7:HOX1A	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX6-7{3.1.1.6}	Hox-A7 (HOX1A){3.1.1.6.4}		Homeodomain	Homeobox
HOXA9	HXA9_HUMAN	P31269	HOXA9:HOX1G	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX9-13{3.1.1.8}	Hox-A9 (HOX1G){3.1.1.8.1}		Homeodomain	Homeobox
HOXB1	HXB1_HUMAN	P14653	HOXB1:HOX2I	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX1{3.1.1.1}	Hox-B1 (HOX2I){3.1.1.1.2}		Homeodomain	Homeobox
HOXB13	HXB13_HUMAN	Q92826	HOXB13	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX9-13{3.1.1.8}	Hox-B13{3.1.1.8.14}		Homeodomain	Homeobox
HOXB2	HXB2_HUMAN	P14652	HOXB2:HOX2H	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX2{3.1.1.2}	Hox-B2 (HOX2H){3.1.1.2.2}		Homeodomain	Homeobox
HOXB3	HXB3_HUMAN	P14651	HOXB3:HOX2G	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX3{3.1.1.3}	Hox-B3 (HOX2G){3.1.1.3.2}		Homeodomain	Homeobox
HOXB4	HXB4_HUMAN	P17483	HOXB4:HOX2F	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX4{3.1.1.4}	Hox-B4 (HOX2F){3.1.1.4.2}		Homeodomain	Homeobox
HOXB5	HXB5_HUMAN	P09067	HOXB5:HOX2A	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX5{3.1.1.5}	Hox-B5 (HOX2A){3.1.1.5.2}		Homeodomain	Homeobox
HOXB6	HXB6_HUMAN	P17509	HOXB6:HOX2B	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX6-7{3.1.1.6}	Hox-B6 (HOX2B){3.1.1.6.2}	Hox-B6, isoform 1{3.1.1.6.2.1}:Hox-B6, isoform 2{3.1.1.6.2.2}	Homeodomain	Homeobox
HOXB7	HXB7_HUMAN	P09629	HOXB7:HOX2C	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX6-7{3.1.1.6}	Hox-B7 (HOX2C){3.1.1.6.5}		Homeodomain	Homeobox
HOXB8	HXB8_HUMAN	P17481	HOXB8:HOX2D	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX8{3.1.1.7}	Hox-B8 (HOX2D){3.1.1.7.1}		Homeodomain	Homeobox
HOXB9	HXB9_HUMAN	P17482	HOXB9:HOX2E	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX9-13{3.1.1.8}	Hox-B9 (HOX2E){3.1.1.8.2}		Homeodomain	Homeobox
HOXC10	HXC10_HUMAN	Q9NYD6	HOXC10:HOX3I	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX9-13{3.1.1.8}	Hox-C10 (HOX3I){3.1.1.8.6}		Homeodomain	Homeobox
HOXC11	HXC11_HUMAN	O43248	HOXC11:HOX3H	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX9-13{3.1.1.8}	Hox-C11 (HOX3H){3.1.1.8.9}		Homeodomain	Homeobox
HOXC12	HXC12_HUMAN	P31275	HOXC12:HOC3F:HOX3F	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX9-13{3.1.1.8}	Hox-C12 (HOX3F){3.1.1.8.11}		Homeodomain	Homeobox
HOXC13	HXC13_HUMAN	P31276	HOXC13:HOX3G	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX9-13{3.1.1.8}	Hox-C13 (HOX3G){3.1.1.8.15}		Homeodomain	Homeobox
HOXC4	HXC4_HUMAN	P09017	HOXC4:HOX3E	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX4{3.1.1.4}	Hox-C4 (HOX3E){3.1.1.4.3}		Homeodomain	Homeobox
